Case_ID,Activity,Timestamp,Resource,Amount,Department
PO_0001,Submit Purchase Request,2024-03-11 00:00:00,Employee_A,1500,IT
PO_0001,Manager Review,2024-03-11 01:00:00,Manager_3,1500,IT
PO_0001,Approve,2024-03-11 16:00:00,Manager_1,1500,IT
PO_0001,Send to Vendor,2024-03-11 17:00:00,System,1500,IT
PO_0002,Submit Purchase Request,2024-02-29 00:00:00,Employee_B,1500,Marketing
PO_0002,Manager Review,2024-02-29 04:00:00,Manager_1,1500,Marketing
PO_0002,Reject,2024-02-29 20:00:00,Manager_3,1500,Marketing
PO_0003,Submit Purchase Request,2024-02-10 00:00:00,Employee_B,8000,IT
PO_0003,Manager Review,2024-02-10 02:00:00,Manager_2,8000,IT
PO_0003,Finance Check,2024-02-10 07:00:00,Finance_X,8000,IT
PO_0003,Approve,2024-02-12 11:00:00,Manager_1,8000,IT
PO_0003,Send to Vendor,2024-02-12 17:00:00,System,8000,IT
PO_0004,Submit Purchase Request,2024-03-08 00:00:00,Employee_A,15000,Finance
PO_0004,Manager Review,2024-03-08 04:00:00,Manager_1,15000,Finance
PO_0004,Finance Check,2024-03-08 23:00:00,Finance_Y,15000,Finance
PO_0004,Approve,2024-03-11 01:00:00,Manager_3,15000,Finance
PO_0004,Final Approval,2024-03-11 05:00:00,Director_Alpha,15000,Finance
PO_0004,Send to Vendor,2024-03-11 09:00:00,System,15000,Finance
PO_0005,Submit Purchase Request,2024-01-21 00:00:00,Employee_D,5500,Operations
PO_0005,Manager Review,2024-01-21 03:00:00,Manager_2,5500,Operations
PO_0005,Finance Check,2024-01-22 01:00:00,Finance_Y,5500,Operations
PO_0005,Approve,2024-01-23 01:00:00,Manager_2,5500,Operations
PO_0005,Send to Vendor,2024-01-23 07:00:00,System,5500,Operations
PO_0006,Submit Purchase Request,2024-06-28 00:00:00,Employee_B,5500,Operations
PO_0006,Manager Review,2024-06-28 02:00:00,Manager_1,5500,Operations
PO_0006,Finance Check,2024-06-28 18:00:00,Finance_Y,5500,Operations
PO_0006,Approve,2024-06-30 08:00:00,Manager_3,5500,Operations
PO_0006,Send to Vendor,2024-06-30 12:00:00,System,5500,Operations
PO_0007,Submit Purchase Request,2024-02-28 00:00:00,Employee_D,15000,IT
PO_0007,Manager Review,2024-02-28 03:00:00,Manager_1,15000,IT
PO_0007,Finance Check,2024-02-28 11:00:00,Finance_Z,15000,IT
PO_0007,Approve,2024-03-01 07:00:00,Manager_1,15000,IT
PO_0007,Final Approval,2024-03-01 15:00:00,Director_Beta,15000,IT
PO_0007,Send to Vendor,2024-03-03 10:00:00,System,15000,IT
PO_0008,Submit Purchase Request,2024-03-08 00:00:00,Employee_C,50000,Marketing
PO_0008,Manager Review,2024-03-08 04:00:00,Manager_3,50000,Marketing
PO_0008,Rework Request,2024-03-08 18:00:00,Employee_C,50000,Marketing
PO_0008,Manager Review,2024-03-09 12:00:00,Manager_1,50000,Marketing
PO_0008,Finance Check,2024-03-09 22:00:00,Finance_Y,50000,Marketing
PO_0008,Approve,2024-03-10 13:00:00,Manager_1,50000,Marketing
PO_0008,Final Approval,2024-03-10 15:00:00,Director_Alpha,50000,Marketing
PO_0008,Send to Vendor,2024-03-12 09:00:00,System,50000,Marketing
PO_0009,Submit Purchase Request,2024-06-01 00:00:00,Employee_D,3000,HR
PO_0009,Manager Review,2024-06-01 03:00:00,Manager_3,3000,HR
PO_0009,Rework Request,2024-06-01 05:00:00,Employee_A,3000,HR
PO_0009,Manager Review,2024-06-03 04:00:00,Manager_3,3000,HR
PO_0009,Approve,2024-06-03 10:00:00,Manager_3,3000,HR
PO_0009,Send to Vendor,2024-06-03 16:00:00,System,3000,HR
PO_0010,Submit Purchase Request,2024-04-21 00:00:00,Employee_C,1500,Operations
PO_0010,Manager Review,2024-04-21 02:00:00,Manager_3,1500,Operations
PO_0010,Reject,2024-04-21 07:00:00,Manager_3,1500,Operations
PO_0011,Submit Purchase Request,2024-06-04 00:00:00,Employee_B,8000,Finance
PO_0011,Manager Review,2024-06-04 01:00:00,Manager_3,8000,Finance
